frame,time_s,track_id,class,x,y,map_x,map_y,confidence
0,0,1,3,836,440,772.275,391.866,0.9
0,0,2,3,214.833,439.444,32.9052,394.655,0.880769
0,0,3,4,768.036,341.985,715.809,304.231,0.675984
0,0,4,3,440.071,340.929,288.429,305.878,0.830935
0,0,5,2,551.5,294.5,433.957,257.756,0.695783
0,0,6,3,782,246,765.936,200.92,0.892899
0,0,7,3,667.953,249.058,601.12,205.886,0.789614
0,0,8,3,267.951,244.78,34.2353,205.68,0.822513
0,0,9,3,623.5,241.804,538.57,197.904,0.818788
0,0,10,3,319.5,200.778,92.7035,151.638,0.838182
0,0,11,4,587,174.667,491.86,113.309,0.861828
1,0.0333667,1,3,835.954,440.029,772.21,391.89,0.897605
1,0.0333667,2,3,215,438,32.6465,393.483,0.879767
1,0.0333667,3,4,768.036,341.985,715.809,304.231,0.675984
1,0.0333667,4,3,440.5,340.86,288.975,305.808,0.83202
1,0.0333667,5,2,551.488,294.372,433.944,257.62,0.674286
1,0.0333667,6,3,782.667,245.583,767.051,200.42,0.865563
1,0.0333667,7,3,668.008,248.795,601.25,205.579,0.78162
1,0.0333667,8,3,267.951,244.78,34.2353,205.68,0.805759
1,0.0333667,9,3,623.5,241.804,538.57,197.904,0.815152
1,0.0333667,10,3,319.5,200.3,92.5453,151.031,0.837705
1,0.0333667,11,4,587,174.667,491.86,113.309,0.872581
2,0.0667334,1,3,835.954,440.029,772.21,391.89,0.897605
2,0.0667334,2,3,215,438,32.6465,393.483,0.879767
2,0.0667334,3,4,768.036,341.985,715.809,304.231,0.675984
2,0.0667334,4,3,440.5,340.86,288.975,305.808,0.83202
2,0.0667334,5,2,551.488,294.372,433.944,257.62,0.671429
2,0.0667334,6,3,782,245.5,766.118,200.33,0.873494
2,0.0667334,7,3,668.008,248.795,601.25,205.579,0.78162
2,0.0667334,8,3,267.951,244.78,34.2353,205.68,0.805759
2,0.0667334,9,3,623.5,241.804,538.57,197.904,0.815152
2,0.0667334,10,3,319.5,200.3,92.5453,151.031,0.837705
2,0.0667334,11,4,587,174.667,491.86,113.309,0.872581
3,0.1001,1,3,835.954,440.029,772.21,391.89,0.897605
3,0.1001,2,3,215,438,32.6465,393.483,0.879767
3,0.1001,3,4,768.036,341.985,715.809,304.231,0.675984
3,0.1001,4,3,440.5,340.86,288.975,305.808,0.83202
3,0.1001,5,2,551.488,294.372,433.944,257.62,0.671429
3,0.1001,6,3,782,245.5,766.118,200.33,0.873494
3,0.1001,7,3,668.008,248.795,601.25,205.579,0.78162
3,0.1001,8,3,267.951,244.78,34.2353,205.68,0.805759
3,0.1001,9,3,623.5,241.804,538.57,197.904,0.815152
3,0.1001,10,3,319.5,200.3,92.5453,151.031,0.837705
3,0.1001,11,4,587,174.667,491.86,113.309,0.872581
4,0.133467,1,3,835.954,440.029,772.21,391.89,0.897605
4,0.133467,2,3,215,438,32.6465,393.483,0.879767
4,0.133467,3,4,768.036,341.985,715.809,304.231,0.675984
4,0.133467,4,3,440.5,340.86,288.975,305.808,0.83202
4,0.133467,5,2,551.488,294.372,433.944,257.62,0.671429
4,0.133467,6,3,782,245.5,766.118,200.33,0.873494
4,0.133467,7,3,668.008,248.795,601.25,205.579,0.78162
4,0.133467,8,3,267.951,244.78,34.2353,205.68,0.805759
4,0.133467,9,3,623.5,241.804,538.57,197.904,0.815152
4,0.133467,10,3,319.5,200.3,92.5453,151.031,0.837705
4,0.133467,11,4,587,174.667,491.86,113.309,0.872581
5,0.166834,1,3,835.954,440.029,772.21,391.89,0.897605
5,0.166834,2,3,215,438,32.6465,393.483,0.879767
5,0.166834,3,4,768.036,341.985,715.809,304.231,0.675984
5,0.166834,4,3,440.5,340.86,288.975,305.808,0.83202
5,0.166834,5,2,551.488,294.372,433.944,257.62,0.671429
5,0.166834,6,3,782,245.5,766.118,200.33,0.873494
5,0.166834,7,3,668.008,248.795,601.25,205.579,0.78162
5,0.166834,8,3,267.951,244.78,34.2353,205.68,0.805759
5,0.166834,9,3,623.5,241.804,538.57,197.904,0.815152
5,0.166834,10,3,319.5,200.3,92.5453,151.031,0.837705
5,0.166834,11,4,587,174.667,491.86,113.309,0.872581
6,0.2002,1,3,835.954,440.029,772.21,391.89,0.897605
6,0.2002,2,3,215,438,32.6465,393.483,0.879767
6,0.2002,3,4,768.036,341.985,715.809,304.231,0.675984
6,0.2002,4,3,440.5,340.86,288.975,305.808,0.83202
6,0.2002,5,2,551.488,294.372,433.944,257.62,0.671429
6,0.2002,6,3,782,245.5,766.118,200.33,0.873494
6,0.2002,7,3,668.008,248.795,601.25,205.579,0.78162
6,0.2002,8,3,267.951,244.78,34.2353,205.68,0.805759
6,0.2002,9,3,623.5,241.804,538.57,197.904,0.815152
6,0.2002,10,3,319.5,200.3,92.5453,151.031,0.837705
6,0.2002,11,4,587,174.667,491.86,113.309,0.872581
7,0.233567,1,3,835.954,440.029,772.21,391.89,0.897605
7,0.233567,2,3,215,438,32.6465,393.483,0.879767
7,0.233567,3,4,768.036,341.985,715.809,304.231,0.675984
7,0.233567,4,3,440.5,340.86,288.975,305.808,0.83202
7,0.233567,5,2,551.488,294.372,433.944,257.62,0.671429
7,0.233567,6,3,782,245.5,766.118,200.33,0.873494
7,0.233567,7,3,668.008,248.795,601.25,205.579,0.78162
7,0.233567,8,3,267.951,244.78,34.2353,205.68,0.805759
7,0.233567,9,3,623.5,241.804,538.57,197.904,0.815152
7,0.233567,10,3,319.5,200.3,92.5453,151.031,0.837705
7,0.233567,11,4,587,174.667,491.86,113.309,0.872581
8,0.266934,1,3,835.954,440.029,772.21,391.89,0.897605
8,0.266934,2,3,215,438,32.6465,393.483,0.879767
8,0.266934,3,4,768.036,341.985,715.809,304.231,0.675984
8,0.266934,4,3,440.5,340.86,288.975,305.808,0.83202
8,0.266934,5,2,551.488,294.372,433.944,257.62,0.671429
8,0.266934,6,3,782,245.5,766.118,200.33,0.873494
8,0.266934,7,3,668.008,248.795,601.25,205.579,0.78162
8,0.266934,8,3,267.951,244.78,34.2353,205.68,0.805759
8,0.266934,9,3,623.5,241.804,538.57,197.904,0.815152
8,0.266934,10,3,319.5,200.3,92.5453,151.031,0.837705
8,0.266934,11,4,587,174.857,491.842,113.567,0.874723
9,0.3003,1,3,835.954,440.029,772.21,391.89,0.897605
9,0.3003,2,3,215,438,32.6465,393.483,0.879767
9,0.3003,3,4,768.036,341.985,715.809,304.231,0.675984
9,0.3003,4,3,440.5,340.86,288.975,305.808,0.83202
9,0.3003,5,2,551.488,294.372,433.944,257.62,0.671429
9,0.3003,6,3,782,245.5,766.118,200.33,0.873494
9,0.3003,7,3,668.008,248.795,601.25,205.579,0.78162
9,0.3003,8,3,267.951,244.78,34.2353,205.68,0.805759
9,0.3003,9,3,623.5,241.804,538.57,197.904,0.815152
9,0.3003,10,3,319.5,200.3,92.5453,151.031,0.837705
9,0.3003,11,4,587,174.857,491.842,113.567,0.867343
10,0.333667,1,3,835.954,440.029,772.21,391.89,0.897605
10,0.333667,2,3,215,438,32.6465,393.483,0.879767
10,0.333667,3,4,768.036,341.985,715.809,304.231,0.675984
10,0.333667,4,3,440.5,340.86,288.975,305.808,0.83202
10,0.333667,5,2,551.488,294.372,433.944,257.62,0.671429
10,0.333667,6,3,782,245.5,766.118,200.33,0.873494
10,0.333667,7,3,668.008,248.795,601.25,205.579,0.78162
10,0.333667,8,3,267.951,244.78,34.2353,205.68,0.805759
10,0.333667,9,3,623.5,241.804,538.57,197.904,0.815152
10,0.333667,10,3,319.5,200.3,92.5453,151.031,0.837705
10,0.333667,11,4,587,174.5,491.875,113.082,0.871429
11,0.367034,1,3,835.954,440.029,772.21,391.89,0.897605
11,0.367034,2,3,215,438,32.6465,393.483,0.879767
11,0.367034,3,4,768.036,341.985,715.809,304.231,0.675984
11,0.367034,4,3,440.5,340.86,288.975,305.808,0.83202
11,0.367034,5,2,551.488,294.372,433.944,257.62,0.671429
11,0.367034,6,3,782,245.5,766.118,200.33,0.873494
11,0.367034,7,3,668.008,248.795,601.25,205.579,0.78162
11,0.367034,8,3,267.951,244.78,34.2353,205.68,0.805759
11,0.367034,9,3,623.5,241.804,538.57,197.904,0.815152
11,0.367034,10,3,319.5,200.3,92.5453,151.031,0.837705
11,0.367034,11,1,593.4,186.6,500.513,129.223,1
12,0.4004,1,3,835.739,440.63,771.765,392.387,0.892638
12,0.4004,2,3,215.26,439.494,33.4213,394.693,0.878182
12,0.4004,3,4,768.5,341.792,716.474,304.038,0.683508
12,0.4004,4,3,440.5,340.86,288.975,305.808,0.823153
12,0.4004,5,2,551.511,294.374,433.976,257.621,0.677143
12,0.4004,6,3,782.87,245.228,767.474,199.998,0.864138
12,0.4004,7,3,668,249,601.199,205.818,0.790691
12,0.4004,8,3,268.975,244.4,35.5288,205.227,0.826667
12,0.4004,9,3,623,241.848,537.846,197.962,0.819062
12,0.4004,10,3,319.5,200.15,92.4956,150.84,0.832258
12,0.4004,11,1,597,191.4,505.484,135.497,1
13,0.433767,1,3,835.739,440.63,771.765,392.387,0.892638
13,0.433767,2,3,215.26,439.494,33.4213,394.693,0.845455
13,0.433767,3,4,768.5,341.792,716.474,304.038,0.683508
13,0.433767,4,3,440.5,340.86,288.975,305.808,0.823153
13,0.433767,5,2,551.511,294.374,433.976,257.621,0.677143
13,0.433767,6,3,782.87,245.228,767.474,199.998,0.864138
13,0.433767,7,3,668,249,601.199,205.818,0.790691
13,0.433767,8,3,268.975,244.4,35.5288,205.227,0.826667
13,0.433767,9,3,623,241.848,537.846,197.962,0.819062
13,0.433767,11,1,605.5,208.5,516.366,157.404,0.903846
13,0.433767,10,3,319.5,200.15,92.4956,150.84,0.832258
14,0.467134,1,3,835.739,440.63,771.765,392.387,0.892638
14,0.467134,2,3,215.26,439.494,33.4213,394.693,0.869091
14,0.467134,3,4,768.5,341.792,716.474,304.038,0.683508
14,0.467134,4,3,440.5,340.86,288.975,305.808,0.823153
14,0.467134,5,2,551.511,294.374,433.976,257.621,0.677143
14,0.467134,6,3,782.87,245.228,767.474,199.998,0.864138
14,0.467134,7,3,668,249,601.199,205.818,0.790691
14,0.467134,8,3,268.975,244.4,35.5288,205.227,0.826667
14,0.467134,10,3,319.5,200.15,92.4956,150.84,0.832258
14,0.467134,9,3,624.6,241.8,540.152,197.885,0.841772
14,0.467134,11,1,611.4,217.8,524.005,168.979,1
15,0.500501,1,3,835.739,440.63,771.765,392.387,0.892638
15,0.500501,2,3,215.26,439.494,33.4213,394.693,0.869091
15,0.500501,3,4,768.5,341.792,716.474,304.038,0.683508
15,0.500501,4,3,440.5,340.86,288.975,305.808,0.823153
15,0.500501,5,2,551.511,294.374,433.976,257.621,0.677143
15,0.500501,6,3,782.87,245.228,767.474,199.998,0.864138
15,0.500501,9,3,631.5,251.5,548.688,209.161,0.838554
15,0.500501,7,3,668,249,601.199,205.818,0.790691
15,0.500501,8,3,268.975,244.4,35.5288,205.227,0.826667
15,0.500501,11,4,612.5,235.717,523.478,190.801,0.866038
15,0.500501,10,3,319.5,200.15,92.4956,150.84,0.832258
16,0.533867,1,3,835.739,440.63,771.765,392.387,0.892638
16,0.533867,2,3,215.26,439.494,33.4213,394.693,0.869091
16,0.533867,3,4,768.5,341.792,716.474,304.038,0.683508
16,0.533867,4,3,440.5,340.86,288.975,305.808,0.823153
16,0.533867,5,2,551.511,294.374,433.976,257.621,0.677143
16,0.533867,9,3,644.735,265.088,565.393,224.559,0.838081
16,0.533867,6,3,782.87,245.228,767.474,199.998,0.864138
16,0.533867,7,3,668,249,601.199,205.818,0.78949
16,0.533867,8,3,268.975,244.4,35.5288,205.227,0.826667
16,0.533867,11,4,607.5,236.818,516.133,192.179,0.861709
16,0.533867,10,3,319.5,200.15,92.4956,150.84,0.832258
17,0.567234,1,3,835.739,440.63,771.765,392.387,0.892638
17,0.567234,2,3,215.26,439.494,33.4213,394.693,0.869091
17,0.567234,3,4,768.5,341.792,716.474,304.038,0.683508
17,0.567234,4,3,440.5,340.86,288.975,305.808,0.823153
17,0.567234,5,2,551.511,294.374,433.976,257.621,0.677143
17,0.567234,9,3,658.455,277.909,582.47,238.709,0.868091
17,0.567234,6,3,782.87,245.228,767.474,199.998,0.864138
17,0.567234,7,3,668,249,601.199,205.818,0.78949
17,0.567234,8,3,268.975,244.4,35.5288,205.227,0.826667
17,0.567234,11,4,604,238.114,510.947,193.767,0.872526
17,0.567234,10,3,319.5,200.15,92.4956,150.84,0.832258
18,0.600601,1,3,835.739,440.63,771.765,392.387,0.892638
18,0.600601,2,3,215.26,439.494,33.4213,394.693,0.869091
18,0.600601,3,4,768.5,341.792,716.474,304.038,0.683508
18,0.600601,4,3,440.5,340.86,288.975,305.808,0.823153
18,0.600601,5,2,551.511,294.374,433.976,257.621,0.677143
18,0.600601,9,3,670.5,291.881,596.628,253.772,0.840909
18,0.600601,6,3,782.87,245.228,767.474,199.998,0.864138
18,0.600601,7,3,668,249,601.199,205.818,0.790691
18,0.600601,8,3,268.975,244.4,35.5288,205.227,0.826667
18,0.600601,11,4,599.933,238.532,505.047,194.315,0.880619
18,0.600601,10,3,319.5,200.15,92.4956,150.84,0.832258
19,0.633967,1,3,835.739,440.63,771.765,392.387,0.892638
19,0.633967,2,3,215.26,439.494,33.4213,394.693,0.869091
19,0.633967,3,4,768.5,341.792,716.474,304.038,0.683508
19,0.633967,4,3,440.5,340.86,288.975,305.808,0.823153
19,0.633967,9,3,682.5,305.283,610.467,267.849,0.822905
19,0.633967,5,2,551.511,294.374,433.976,257.621,0.677143
19,0.633967,6,3,782.87,245.228,767.474,199.998,0.864138
19,0.633967,7,3,668,249,601.199,205.818,0.790691
19,0.633967,8,3,268.975,244.4,35.5288,205.227,0.826667
19,0.633967,11,4,596,239.5,499.295,195.514,0.871875
19,0.633967,10,3,319.5,200.15,92.4956,150.84,0.832258
20,0.667334,1,3,835.739,440.63,771.765,392.387,0.892638
20,0.667334,2,3,215.26,439.494,33.4213,394.693,0.869091
20,0.667334,3,4,768.5,341.792,716.474,304.038,0.683508
20,0.667334,4,3,440.5,340.86,288.975,305.808,0.823153
20,0.667334,9,3,695.5,318.22,625.399,281.096,0.81875
20,0.667334,5,2,551.511,294.374,433.976,257.621,0.677143
20,0.667334,6,3,782.87,245.228,767.474,199.998,0.864138
20,0.667334,7,3,668,249,601.199,205.818,0.78949
20,0.667334,8,3,268.975,244.4,35.5288,205.227,0.826667
20,0.667334,11,4,592,240.5,493.457,196.748,0.863312
20,0.667334,10,3,319.5,200.15,92.4956,150.84,0.832258
21,0.700701,1,3,835.739,440.63,771.765,392.387,0.892638
21,0.700701,2,3,215.26,439.494,33.4213,394.693,0.869091
21,0.700701,3,4,768.5,341.792,716.474,304.038,0.683508
21,0.700701,4,3,440.5,340.86,288.975,305.808,0.823153
21,0.700701,9,3,708.973,332.014,640.423,294.882,0.825849
21,0.700701,5,2,551.511,294.374,433.976,257.621,0.677143
21,0.700701,6,3,782.87,245.228,767.474,199.998,0.864138
21,0.700701,7,3,668,249,601.199,205.818,0.78949
21,0.700701,8,3,268.975,244.4,35.5288,205.227,0.826667
21,0.700701,11,4,588.5,241.318,488.364,197.759,0.873052
21,0.700701,10,3,319.5,200.15,92.4956,150.84,0.832258
22,0.734067,1,3,835.739,440.63,771.765,392.387,0.892638
22,0.734067,2,3,215.26,439.494,33.4213,394.693,0.869091
22,0.734067,3,4,768.5,341.792,716.474,304.038,0.683508
22,0.734067,4,3,440.5,340.86,288.975,305.808,0.823153
22,0.734067,9,3,714.5,338.935,646.199,301.681,0.828358
22,0.734067,5,2,551.511,294.374,433.976,257.621,0.677143
22,0.734067,6,3,782.87,245.228,767.474,199.998,0.864138
22,0.734067,7,3,668,249,601.199,205.818,0.78949
22,0.734067,8,3,268.975,244.4,35.5288,205.227,0.826667
22,0.734067,11,4,586,241.609,484.755,198.133,0.875321
22,0.734067,10,3,319.5,200.15,92.4956,150.84,0.832258
23,0.767434,1,3,835.739,440.63,771.765,392.387,0.892638
23,0.767434,2,3,215.26,439.494,33.4213,394.693,0.869091
23,0.767434,9,3,733.5,358.5,666.507,320.423,0.8375
23,0.767434,3,4,768.5,341.792,716.474,304.038,0.683508
23,0.767434,4,3,440.5,340.86,288.975,305.808,0.823153
23,0.767434,5,2,551.511,294.374,433.976,257.621,0.677143
23,0.767434,6,3,782.87,245.228,767.474,199.998,0.864138
23,0.767434,7,3,668,249,601.199,205.818,0.78949
23,0.767434,8,3,268.975,244.4,35.5288,205.227,0.826667
23,0.767434,11,4,580.309,242.947,476.502,199.781,0.864754
23,0.767434,10,3,319.5,200.15,92.4956,150.84,0.832258
24,0.800801,1,3,835.739,440.63,771.765,392.387,0.892638
24,0.800801,2,3,215.26,439.494,33.4213,394.693,0.878182
24,0.800801,9,3,740.296,365.582,673.582,327.048,0.830516
24,0.800801,3,4,768.5,341.792,716.474,304.038,0.682199
24,0.800801,4,3,440.5,340.86,288.975,305.808,0.823153
24,0.800801,5,2,551.511,294.374,433.976,257.621,0.677143
24,0.800801,6,3,782.87,245.228,767.474,199.998,0.864138
24,0.800801,7,3,668,249,601.199,205.818,0.796697
24,0.800801,8,3,268.975,244.4,35.5288,205.227,0.826667
24,0.800801,11,4,579.5,243,475.341,199.853,0.882237
24,0.800801,10,3,319.5,200.15,92.4956,150.84,0.832258
25,0.834168,1,3,835.739,440.63,771.765,392.387,0.892638
25,0.834168,2,3,215.26,439.494,33.4213,394.693,0.845455
25,0.834168,9,3,753,378.089,686.755,338.546,0.841357
25,0.834168,3,4,768.5,341.792,716.474,304.038,0.682199
25,0.834168,4,3,440.5,340.86,288.975,305.808,0.823153
25,0.834168,5,2,551.511,294.374,433.976,257.621,0.677143
25,0.834168,6,3,782.87,245.228,767.474,199.998,0.864138
25,0.834168,7,3,668,249,601.199,205.818,0.796697
25,0.834168,8,3,268.975,244.4,35.5288,205.227,0.826667
25,0.834168,11,4,574.5,244.262,468.108,201.397,0.874194
25,0.834168,10,3,319.5,200.15,92.4956,150.84,0.832258
26,0.867534,1,3,835.739,440.63,771.765,392.387,0.892638
26,0.867534,2,3,215.26,439.494,33.4213,394.693,0.867273
26,0.867534,9,3,766,391.796,699.708,350.869,0.836
26,0.867534,3,4,768.5,341.792,716.474,304.038,0.682199
26,0.867534,4,3,440.5,340.86,288.975,305.808,0.823153
26,0.867534,5,2,551.511,294.374,433.976,257.621,0.677143
26,0.867534,6,3,782.87,245.228,767.474,199.998,0.864138
26,0.867534,7,3,668,249,601.199,205.818,0.796697
26,0.867534,8,3,268.975,244.4,35.5288,205.227,0.826667
26,0.867534,11,4,571,245,463.065,202.306,0.886066
26,0.867534,10,3,319.5,200.15,92.4956,150.84,0.832258
27,0.900901,1,3,835.739,440.63,771.765,392.387,0.892638
27,0.900901,2,3,215.26,439.494,33.4213,394.693,0.867273
27,0.900901,3,4,768.5,341.792,716.474,304.038,0.682199
27,0.900901,4,3,440.5,340.86,288.975,305.808,0.823153
27,0.900901,5,2,551.511,294.374,433.976,257.621,0.677143
27,0.900901,6,3,782.87,245.228,767.474,199.998,0.864138
27,0.900901,7,3,668,249,601.199,205.818,0.796697
27,0.900901,8,3,268.975,244.4,35.5288,205.227,0.826667
27,0.900901,11,4,567.94,245.516,458.67,202.947,0.86875
27,0.900901,10,3,319.5,200.15,92.4956,150.84,0.832258
28,0.934268,1,3,835.739,440.63,771.765,392.387,0.892638
28,0.934268,2,3,215.26,439.494,33.4213,394.693,0.867273
28,0.934268,3,4,768.5,341.792,716.474,304.038,0.682199
28,0.934268,4,3,440.5,340.86,288.975,305.808,0.823153
28,0.934268,5,2,551.511,294.374,433.976,257.621,0.677143
28,0.934268,6,3,782.87,245.228,767.474,199.998,0.864138
28,0.934268,7,3,668,249,601.199,205.818,0.796697
28,0.934268,11,4,563.5,246.545,452.29,204.204,0.878333
28,0.934268,8,3,268.975,244.4,35.5288,205.227,0.826667
28,0.934268,10,3,319.5,200.15,92.4956,150.84,0.832258
29,0.967634,2,3,215.26,439.494,33.4213,394.693,0.867273
29,0.967634,3,4,768.5,341.792,716.474,304.038,0.682199
29,0.967634,4,3,440.5,340.86,288.975,305.808,0.823153
29,0.967634,5,2,551.511,294.374,433.976,257.621,0.677143
29,0.967634,6,3,782.87,245.228,767.474,199.998,0.864138
29,0.967634,7,3,668,249,601.199,205.818,0.796697
29,0.967634,11,4,558,247.5,444.419,205.384,0.890625
29,0.967634,8,3,268.975,244.4,35.5288,205.227,0.826667
29,0.967634,10,3,319.5,200.15,92.4956,150.84,0.832258
29,0.967634,1,3,805.8,433.8,737.524,386.889,0.879239
30,1.001,2,3,215.26,439.494,33.4213,394.693,0.867273
30,1.001,3,4,768.5,341.792,716.474,304.038,0.682199
30,1.001,4,3,440.5,340.86,288.975,305.808,0.823153
30,1.001,5,2,551.511,294.374,433.976,257.621,0.677143
30,1.001,6,3,782.87,245.228,767.474,199.998,0.864138
30,1.001,7,3,668,249,601.199,205.818,0.796697
30,1.001,11,1,555.974,245.5,441.603,203.072,0.888889
30,1.001,8,3,268.975,244.4,35.5288,205.227,0.826667
30,1.001,10,3,319.5,200.15,92.4956,150.84,0.832258
31,1.03437,1,3,832,442.3,766.739,393.781,0.82623
31,1.03437,2,3,215.26,439.494,33.4213,394.693,0.867273
31,1.03437,3,4,768.5,341.792,716.474,304.038,0.682199
31,1.03437,4,3,440.5,340.86,288.975,305.808,0.823153
31,1.03437,5,2,551.511,294.374,433.976,257.621,0.677143
31,1.03437,6,3,782.87,245.228,767.474,199.998,0.864138
31,1.03437,7,3,668,249,601.199,205.818,0.796697
31,1.03437,11,4,552.637,248.824,436.751,206.989,0.881731
31,1.03437,8,3,268.975,244.4,35.5288,205.227,0.826667
31,1.03437,10,3,319.5,200.15,92.4956,150.84,0.832258
32,1.06773,1,3,833.526,441.816,768.728,393.375,0.892195
32,1.06773,2,3,215.26,439.494,33.4213,394.693,0.867273
32,1.06773,3,4,768.5,341.792,716.474,304.038,0.682199
32,1.06773,4,3,440.5,340.86,288.975,305.808,0.823153
32,1.06773,5,2,551.511,294.374,433.976,257.621,0.677143
32,1.06773,6,3,782.87,245.228,767.474,199.998,0.864138
32,1.06773,11,1,547.077,247.106,428.888,205.055,0.848889
32,1.06773,7,3,668,249,601.199,205.818,0.796697
32,1.06773,8,3,268.975,244.4,35.5288,205.227,0.826667
32,1.06773,10,3,319.5,200.15,92.4956,150.84,0.832258
33,1.1011,1,3,833.523,441.822,768.723,393.38,0.892195
33,1.1011,2,3,215.26,439.494,33.4213,394.693,0.867273
33,1.1011,3,4,768.5,341.792,716.474,304.038,0.682199
33,1.1011,4,3,440.5,340.86,288.975,305.808,0.823153
33,1.1011,5,2,551.511,294.374,433.976,257.621,0.677143
33,1.1011,6,3,782.87,245.228,767.474,199.998,0.864138
33,1.1011,11,4,543.5,250.682,423.743,209.252,0.887662
33,1.1011,7,3,668,249,601.199,205.818,0.796697
33,1.1011,8,3,268.975,244.4,35.5288,205.227,0.826667
33,1.1011,10,3,319.5,200.15,92.4956,150.84,0.832258
34,1.13447,1,3,833.964,440.831,769.558,392.562,0.892488
34,1.13447,2,3,215.26,439.494,33.4213,394.693,0.867273
34,1.13447,3,4,768.5,341.792,716.474,304.038,0.682199
34,1.13447,4,3,440.5,340.86,288.975,305.808,0.823153
34,1.13447,5,2,551.511,294.374,433.976,257.621,0.677143
34,1.13447,6,3,782.87,245.228,767.474,199.998,0.864138
34,1.13447,11,4,542,251.174,421.611,209.839,0.878125
34,1.13447,7,3,668,249,601.199,205.818,0.796697
34,1.13447,8,3,268.975,244.4,35.5288,205.227,0.826667
34,1.13447,10,3,319.5,200.15,92.4956,150.84,0.832258
35,1.16783,1,3,833.964,440.831,769.558,392.562,0.892488
35,1.16783,2,3,215.26,439.494,33.4213,394.693,0.867273
35,1.16783,3,4,768.5,341.792,716.474,304.038,0.682199
35,1.16783,4,3,440.5,340.86,288.975,305.808,0.823153
35,1.16783,5,2,551.511,294.374,433.976,257.621,0.677143
35,1.16783,6,3,782.87,245.228,767.474,199.998,0.864138
35,1.16783,11,4,539,251.652,417.357,210.427,0.859091
35,1.16783,7,3,668,249,601.199,205.818,0.796697
35,1.16783,8,3,268.975,244.4,35.5288,205.227,0.826667
35,1.16783,10,3,319.5,200.15,92.4956,150.84,0.832258
36,1.2012,1,3,832.5,440,768.044,391.885,0.894425
36,1.2012,2,3,215.26,439.494,33.4213,394.693,0.878182
36,1.2012,3,4,768.5,341.792,716.474,304.038,0.683508
36,1.2012,4,3,440.5,340.86,288.975,305.808,0.823153
36,1.2012,5,2,551.511,294.374,433.976,257.621,0.677143
36,1.2012,11,4,534.167,252.5,410.514,211.462,0.875321
36,1.2012,6,3,782.87,245.228,767.474,199.998,0.864138
36,1.2012,7,3,668,249,601.199,205.818,0.796697
36,1.2012,8,3,268.975,244.4,35.5288,205.227,0.826667
36,1.2012,10,3,319.5,200.15,92.4956,150.84,0.833871
37,1.23457,1,3,834.224,440.224,770.059,392.06,0.892661
37,1.23457,2,3,215.26,439.494,33.4213,394.693,0.845455
37,1.23457,3,4,768.5,341.792,716.474,304.038,0.683508
37,1.23457,4,3,440.5,340.86,288.975,305.808,0.823153
37,1.23457,5,2,551.511,294.374,433.976,257.621,0.677143
37,1.23457,11,4,531.189,253.432,406.307,212.57,0.872785
37,1.23457,6,3,782.87,245.228,767.474,199.998,0.864138
37,1.23457,7,3,668,249,601.199,205.818,0.796697
37,1.23457,8,3,268.975,244.4,35.5288,205.227,0.826667
37,1.23457,10,3,319.5,200.15,92.4956,150.84,0.833871
38,1.26793,1,3,834.224,440.224,770.059,392.06,0.892661
38,1.26793,2,3,215.26,439.494,33.4213,394.693,0.867273
38,1.26793,3,4,768.5,341.792,716.474,304.038,0.683508
38,1.26793,4,3,440.5,340.86,288.975,305.808,0.823153
38,1.26793,5,2,551.511,294.374,433.976,257.621,0.677143
38,1.26793,11,4,527.5,253.891,401.1,213.141,0.892593
38,1.26793,6,3,782.87,245.228,767.474,199.998,0.864138
38,1.26793,7,3,668,249,601.199,205.818,0.796697
38,1.26793,8,3,268.975,244.4,35.5288,205.227,0.826667
38,1.26793,10,3,319.5,200.15,92.4956,150.84,0.833871
39,1.3013,1,3,834.224,440.224,770.059,392.06,0.892661
39,1.3013,2,3,215.26,439.494,33.4213,394.693,0.867273
39,1.3013,3,4,768.5,341.792,716.474,304.038,0.683508
39,1.3013,4,3,440.5,340.86,288.975,305.808,0.823153
39,1.3013,5,2,551.511,294.374,433.976,257.621,0.677143
39,1.3013,11,4,522.11,255.16,393.512,214.659,0.864642
39,1.3013,6,3,782.87,245.228,767.474,199.998,0.864138
39,1.3013,7,3,668,249,601.199,205.818,0.796697
39,1.3013,8,3,268.975,244.4,35.5288,205.227,0.826667
39,1.3013,10,3,319.5,200.15,92.4956,150.84,0.833871
40,1.33467,1,3,834.224,440.224,770.059,392.06,0.892661
40,1.33467,2,3,215.26,439.494,33.4213,394.693,0.867273
40,1.33467,3,4,768.5,341.792,716.474,304.038,0.683508
40,1.33467,4,3,440.5,340.86,288.975,305.808,0.823153
40,1.33467,5,2,551.511,294.374,433.976,257.621,0.677143
40,1.33467,11,1,520.34,252.34,390.969,211.439,0.880597
40,1.33467,6,3,782.87,245.228,767.474,199.998,0.864138
40,1.33467,7,3,668,249,601.199,205.818,0.796697
40,1.33467,8,3,268.975,244.4,35.5288,205.227,0.826667
40,1.33467,10,3,319.5,200.15,92.4956,150.84,0.833871
41,1.36803,1,3,834.224,440.224,770.059,392.06,0.892661
41,1.36803,2,3,215.26,439.494,33.4213,394.693,0.867273
41,1.36803,3,4,768.5,341.792,716.474,304.038,0.683508
41,1.36803,4,3,440.5,340.86,288.975,305.808,0.823153
41,1.36803,5,2,551.511,294.374,433.976,257.621,0.677143
